title,slug,permalink,projecturl,imageurl,tags,tagline,author,maintainers,contributors,github_user,github_repo,language,type,stage,activity_status,maturity_status,featured,helpwanted,typeofhelp,redirect_from,sort_order
Webshot,webshot,/projects/webshot/index.html,http://webshot.okfnlabs.org/,/img/projects/project-webshot.png,node.js,"Free, automated generation of live screenshots of public websites",Simon Gaeremynck,,,okfn,webshot,JavaScript,"webapp, running service, tool",mature,active,,false,false,"coding, testing, documenting",,7
Public Bodies,publicbodies,/projects/publicbodies/index.html,http://publicbodies.org/,/img/projects/project-publicbodies.png,node.js,A URL for every part of government,Labs,,"rgrp, wombleton, pudo, rossjones",okfn,publicbodies,"JavaScript, Python",running service,mature,active,,true,true,"coding, data wrangling, testing, documenting, blogging",,8
FacetView,facetview,/projects/facetview/index.html,http://okfnlabs.org/facetview/,/img/projects/project-facetview.png,elasticsearch,Pure JavaScript frontend for ElasticSearch,Mark MacGillivray,,rgrp,okfn,facetview,JavaScript,webapp,mature,active,,false,false,,,9
BibServer,bibserver,/projects/bibserver/index.html,https://github.com/okfn/bibserver,/img/projects/project-bibserver.png,bibliographic metadata,"Publish, manage and find bibliographies simply and easily",Mark MacGillivray and Jim Pitman,,rgrp,okfn,bibserver,"Python, JavaScript",webapp,mature,active,,false,false,,,10
BibJSON,bibjson,/projects/bibjson/index.html,http://okfnlabs.org/bibjson/,/img/projects/project-bibjson.png,bibliographic metadata,Share and use bibliographic metadata online,Mark MacGillivray and Jim Pitman,,,okfn,bibjson,,specification,mature,active,,false,false,,,11
Bad Data,bad-data,/projects/bad-data/index.html,http://okfnlabs.org/bad-data/,/img/projects/project-bad-data.png,,Real-world examples of how not to do data,Rufus Pollock,rgrp,,okfn,bad-data,"html, markdown, css, javascript",running service,live,active,,false,true,"coding, testing, documenting",,12
Data Package Manager,dpm,/projects/dpm/index.html,http://data.okfn.org/tools,/img/projects/dpm.png,node.js,Toward the componentization of data,Rufus Pollock,rgrp,mikechelen,okfn,dpm,javascript,"library, tool",live,active,,true,true,"coding, testing, documenting",,13
Recline Mozilla CSV Viewer,recline-mozilla-csv-viewer,/projects/recline-mozilla-csv-viewer/index.html,https://github.com/okfn/mozilla-csv-viewer,/img/projects/project-recline-mozilla-csv-viewer.png,FireFox Extension,,,alioune,,aliounedia,mozilla-csv-viewer,"javascript, css",tool,mature,active,,,,,,14
Open Knowledge Labs website,open-knowledge-labs-website,/projects/open-knowledge-labs-website/index.html,http://okfnlabs.org/,/img/open-knowledge-labs-website.png,,,Andy Lulham and Rufus Pollock,"rgrp, andylolz, dfowler",mikechelen,okfn,okfn.github.com,"html, markdown, css, javascript",website,live,active,,false,true,"coding, blogging",,15
Head Start,headstart,/projects/headstart/index.html,http://github.com/pkraker/Headstart,/img/projects/project-headstart.png,"D3, visualization, altmetrics",,"Peter Kraker, Philipp Weißensteiner, Fabian Dablander, Christopher Kittel",pkraker,,pkraker,Headstart,"javascript, php","visualization, webapp",production,active,,true,true,,,16
